Punch ID,Task Number,Punch,Type Of Punch,Punch Status,RevisionDate,RevisionNumber,Item,ItemType,Disc,Form Type,PrvPunchId
395,AX160381,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:36.8,0,LT-H61,ULTRASONIC,IN,CJX00,NULL
396,AX159978,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:36.8,0,LT-E65,ULTRASONIC,IN,CJX00,NULL
397,AX165267,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:39.3,0,LT-E48,ULTRASONIC,IN,CJX00,NULL
398,AX159968,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:41.6,0,LT-E63,ULTRASONIC,IN,CJX00,NULL
399,AX165536,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:41.6,0,LT-E85,ULTRASONIC,IN,CJX00,NULL
401,AX165277,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:45.8,0,LT-E42,ULTRASONIC,IN,CJX00,NULL
402,AX165357,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:45.8,0,LT-E58,ULTRASONIC,IN,CJX00,NULL
403,AX165467,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,04:56.2,0,LT-E53,ULTRASONIC,IN,CJX00,NULL
404,AX017146,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,00:38.3,0,FT-G05,FLOW_TRANS,IN,CJX00,NULL
405,AX017150,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,00:44.7,0,PT-G14.1,PRESS_TRANS,IN,CJX00,NULL
409,AX011405,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,LSC COR CP-C05-b1,CABL_LV,EL,CPX11,NULL
410,AX011408,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,LSC COR CP-C05-b2,CABL_LV,EL,CPX11,NULL
411,AX014041,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.R1,CABL_HV/MV,EL,TPX08,NULL
412,AX014044,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.R2,CABL_HV/MV,EL,TPX08,NULL
413,AX014047,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.S1,CABL_HV/MV,EL,TPX08,NULL
414,AX014050,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.S2,CABL_HV/MV,EL,TPX08,NULL
415,AX014053,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.T1,CABL_HV/MV,EL,TPX08,NULL
416,AX014056,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,HSC COR SWG-COR-H10.T2,CABL_HV/MV,EL,TPX08,NULL
417,AX014135,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,MSC COR CP-C11.S,CABL_HV/MV,EL,CPX11,NULL
418,AX014153,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,MSC COR DTR-COR-M10.S,CABL_HV/MV,EL,CPX11,NULL
419,AX014464,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,PU-M51/A-MOTOR,MOTOR_LV,EL,TPX13,NULL
420,AX014470,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,PU-M51/B-MOTOR,MOTOR_LV,EL,TPX13,NULL
421,AX015619,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,PU-M64/B,MOTOR_LV,EL,CPX13,NULL
422,AX015620,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,PU-M64/B,MOTOR_LV,EL,TPX13,NULL
423,AX016990,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,PT-A19,PRESS_TRANS,IN,CJX00,NULL
424,AX017993,ثبت پانچ جهت تصحیح فرم,1,0,49:50.8,0,AV-D18,VALV_CONTROL,IN,CJX23,NULL
425,AX165327,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:33.4,0,FT-E91-1,ULTRASONIC,IN,CJX00,NULL
426,AX017283,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:42.0,0,FT-E91,FLOW_TRANS,IN,CJX00,NULL
427,AX017022,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:47.7,0,PT-A79.1,PRESS_TRANS,IN,CJX00,NULL
428,AX017051,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:47.7,0,FT-A58,FLOW_TRANS,IN,CJX00,NULL
429,AX017012,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:47.8,0,FT-M35,FLOW_TRANS,IN,CJX00,NULL
430,AX017059,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,57:56.1,0,PT-A79.2,PRESS_TRANS,IN,CJX00,NULL
431,AX017838,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,23:32.5,0,TT-T49,TEMP_TRANS,IN,CJX00,NULL
432,AX017108,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,24:00.5,0,FT-D41,FLOW_TRANS,IN,CJX00,NULL
433,AX017027,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,24:02.4,0,FT-D76,FLOW_TRANS,IN,CJX00,NULL
434,AX017013,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,25:45.6,0,FT-D50,FLOW_TRANS,IN,CJX00,NULL
435,AX017015,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,25:46.9,0,FT-D52,FLOW_TRANS,IN,CJX00,NULL
436,AX017014,شیرینگ حرارتی و فلکسیبل فیکس شود.,3,0,25:48.5,0,FT-D51,FLOW_TRANS,IN,CJX00,NULL
